timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,label
0.00000,1.60000,9.60000,2.10000,0.20000,0.10000,0.00000,normal
0.02000,1.23814,9.65361,1.80000,0.00000,0.00000,0.00000,normal
0.04000,1.15567,9.59175,1.80000,0.00000,0.00000,0.00000,normal
0.06000,1.07320,9.52990,1.80000,0.00000,0.00000,0.00000,normal
0.08000,0.99072,9.46804,1.80000,0.00000,0.00000,0.00000,normal
0.10000,0.90825,9.40619,1.80000,0.00000,0.00000,0.00000,normal
0.12000,1.21099,9.15604,1.90000,-0.10000,0.10000,0.00000,normal
0.14000,1.23297,9.06813,1.90000,-0.10000,0.10000,0.00000,normal
0.16000,1.25495,8.98022,1.90000,-0.10000,0.10000,0.00000,normal
0.18000,1.27692,8.89231,1.90000,-0.10000,0.10000,0.00000,normal
0.20000,1.29890,8.80440,1.90000,-0.10000,0.10000,0.00000,normal
0.22000,0.98710,9.28710,2.01290,-0.10909,0.10000,0.00000,normal
0.24000,0.96559,9.26559,2.03441,-0.12727,0.10000,0.00000,normal
0.26000,0.94409,9.24409,2.05591,-0.14545,0.10000,0.00000,normal
0.28000,0.92258,9.22258,2.07742,-0.16364,0.10000,0.00000,normal
0.30000,0.90108,9.20108,2.09892,-0.18182,0.10000,0.00000,normal
0.32000,0.83077,8.90000,2.23846,-0.20000,0.10000,0.00000,normal
0.34000,0.71688,8.73377,2.27922,-0.16364,0.46364,0.06364,normal
0.36000,0.61299,8.52597,2.25325,-0.22540,0.55079,0.12540,normal
0.38000,0.50909,8.31818,2.22727,-0.25714,0.61429,0.15714,normal
0.40000,0.40519,8.11039,2.20130,-0.28889,0.67778,0.18889,normal
0.42000,0.15806,7.81398,1.86989,-1.21304,0.50652,0.30652,normal
0.44000,0.09355,7.83548,1.97742,-1.25652,0.52826,0.32826,normal
0.46000,0.02903,7.85699,2.08495,-1.30000,0.55000,0.35000,normal
0.48000,-0.03548,7.87849,2.19247,-1.34348,0.57174,0.37174,normal
0.50000,-0.10000,7.90000,2.30000,-1.38696,0.59348,0.39348,normal
0.52000,0.94624,7.17849,3.14624,-2.30000,0.60000,0.40000,normal
0.54000,0.83871,7.13548,3.03871,-2.63902,0.71951,0.51951,normal
0.56000,0.73118,7.09247,2.93118,-2.68780,0.74390,0.54390,normal
0.58000,0.62366,7.04946,2.82366,-2.73659,0.76829,0.56829,normal
0.60000,0.51613,7.00645,2.71613,-2.78537,0.79268,0.59268,normal
0.62000,0.86703,5.21099,5.58791,-3.12105,0.90000,0.70000,normal
0.64000,0.80110,5.23297,5.76374,-3.22632,0.90000,0.70000,normal
0.66000,0.73516,5.25495,5.93956,-3.33158,0.90000,0.70000,normal
0.68000,0.66923,5.27692,6.11538,-3.43684,0.90000,0.70000,normal
0.70000,0.60330,5.29890,6.29121,-3.54211,0.90000,0.70000,normal
0.72000,-0.68370,2.36196,6.60543,-4.24000,1.28000,0.97000,normal
0.74000,-0.61848,2.20978,6.62717,-4.52400,1.49200,1.30800,normal
0.76000,-0.55326,2.05761,6.64891,-4.60400,1.46533,1.33467,normal
0.78000,-0.48804,1.90543,6.67065,-4.68400,1.43867,1.36133,normal
0.80000,-0.42283,1.75326,6.69239,-4.76400,1.41200,1.38800,normal
0.82000,-4.06563,-3.27292,4.98542,-5.20103,2.10206,2.60412,normal
0.84000,-4.25312,-3.48125,4.94375,-5.22165,2.14330,2.68660,normal
0.86000,-4.44062,-3.68958,4.90208,-5.24227,2.18454,2.76907,normal
0.88000,-4.62812,-3.89792,4.86042,-5.26289,2.22577,2.85155,normal
0.90000,-4.81563,-4.10625,4.81875,-5.28351,2.26701,2.93402,normal
0.92000,-9.50000,-2.90000,5.10000,-4.95000,2.50000,3.75000,normal
0.94000,-9.82099,-2.90000,5.17407,-4.94512,2.68293,3.90000,normal
0.96000,-10.14198,-2.90000,5.24815,-5.11585,2.78049,3.90000,normal
0.98000,-10.46296,-2.90000,5.32222,-5.28659,2.87805,3.90000,normal
1.00000,-10.78395,-2.90000,5.39630,-5.45732,2.97561,3.90000,normal
1.02000,-17.94574,-5.78298,-0.31064,-6.90000,3.15000,4.56667,normal
1.04000,-18.47766,-5.91064,-0.48085,-7.00112,3.03933,4.66067,normal
1.06000,-19.00957,-6.03830,-0.65106,-7.11348,2.97191,4.72809,normal
1.08000,-19.54149,-6.16596,-0.82128,-7.22584,2.90449,4.79551,normal
1.10000,-20.07340,-6.29362,-0.99149,-7.33820,2.83708,4.86292,normal
1.12000,-15.03412,-14.85647,-0.45647,-6.25556,1.78889,4.63333,normal
1.14000,-14.70471,-13.13882,-0.73882,0.04133,0.23200,3.44667,normal
1.16000,-14.37529,-11.42118,-1.02118,0.89467,0.31200,3.31333,normal
1.18000,-14.04588,-9.70353,-1.30353,1.74800,0.39200,3.18000,normal
1.20000,-13.71647,-7.98588,-1.58588,2.60133,0.47200,3.04667,normal
1.22000,-8.48090,-4.06067,1.86067,1.67176,0.60000,0.30000,normal
1.24000,-8.66067,-4.19551,1.99551,1.53059,0.60000,0.30000,normal
1.26000,-8.84045,-4.33034,2.13034,1.38941,0.60000,0.30000,normal
1.28000,-9.02022,-4.46517,2.26517,1.24824,0.60000,0.30000,normal
1.30000,-9.20000,-4.60000,2.40000,1.10706,0.60000,0.30000,normal
1.32000,-8.01562,-4.48438,2.95312,-0.01456,0.00000,0.00000,normal
1.34000,-8.03646,-4.46354,2.89062,-0.03398,0.00000,0.00000,normal
1.36000,-8.05729,-4.44271,2.82812,-0.05340,0.00000,0.00000,normal
1.38000,-8.07812,-4.42188,2.76562,-0.07282,0.00000,0.00000,normal
1.40000,-8.09896,-4.40104,2.70312,-0.09223,0.00000,0.00000,normal
1.42000,-9.84494,-3.84607,1.38202,0.30000,-0.41682,-0.51121,normal
1.44000,-9.95730,-3.71124,1.33708,0.30000,-0.47290,-0.54860,normal
1.46000,-10.06966,-3.57640,1.29213,0.30000,-0.52897,-0.58598,normal
1.48000,-10.18202,-3.44157,1.24719,0.30000,-0.58505,-0.62336,normal
1.50000,-10.29438,-3.30674,1.20225,0.30000,-0.64112,-0.66075,normal
1.52000,-11.43636,-2.95455,0.64545,0.30000,-0.69720,-0.69813,normal
1.54000,-11.56267,-2.90000,0.68133,-0.30000,-1.30597,-1.71194,normal
1.56000,-11.50933,-2.90000,0.65467,-0.30000,-1.33582,-1.77164,normal
1.58000,-11.45600,-2.90000,0.62800,-0.30000,-1.36567,-1.83134,normal
1.60000,-11.40267,-2.90000,0.60133,-0.30000,-1.39552,-1.89104,normal
1.62000,-11.57234,-2.85532,0.60000,0.60000,-1.20000,-2.09348,normal
1.64000,-11.52979,-2.94043,0.60000,0.60000,-1.20000,-2.07174,normal
1.66000,-11.48723,-3.02553,0.60000,0.60000,-1.20000,-2.05000,normal
1.68000,-11.44468,-3.11064,0.60000,0.60000,-1.20000,-2.02826,normal
1.70000,-11.40213,-3.19574,0.60000,0.60000,-1.20000,-2.00652,normal
1.72000,-9.83152,-2.40978,0.40000,0.80000,-0.79659,-1.59659,normal
1.74000,-9.67935,-2.43152,0.40000,0.80000,-0.77386,-1.57386,normal
1.76000,-9.52717,-2.45326,0.40000,0.80000,-0.75114,-1.55114,normal
1.78000,-9.37500,-2.47500,0.40000,0.80000,-0.72841,-1.52841,normal
1.80000,-9.22283,-2.49674,0.40000,0.80000,-0.70568,-1.50568,normal
1.82000,-7.96374,-2.10000,0.52418,0.89208,-0.29604,-0.79208,normal
1.84000,-7.89780,-2.10000,0.56813,0.85248,-0.27624,-0.75248,normal
1.86000,-7.83187,-2.10000,0.61209,0.81287,-0.25644,-0.71287,normal
1.88000,-7.76593,-2.10000,0.65604,0.77327,-0.23663,-0.67327,normal
1.90000,-7.70000,-2.10000,0.70000,0.73366,-0.21683,-0.63366,normal
1.92000,-7.40698,-2.30698,0.80000,0.67000,-0.17000,-0.54000,normal
1.94000,-7.43023,-2.33023,0.80000,0.08846,0.41154,0.22308,normal
1.96000,-7.45349,-2.35349,0.80000,0.06282,0.43718,0.27436,normal
1.98000,-7.47674,-2.37674,0.80000,0.03718,0.46282,0.32564,normal
2.00000,-7.50000,-2.40000,0.80000,0.01154,0.48846,0.37692,normal
2.02000,-8.64070,-2.90814,0.80000,-0.19773,1.10227,1.10455,normal
2.04000,-8.75698,-2.93140,0.80000,-0.17500,1.12500,1.15000,normal
2.06000,-8.87326,-2.95465,0.80000,-0.15227,1.14773,1.19545,normal
2.08000,-8.98953,-2.97791,0.80000,-0.12955,1.17045,1.24091,normal
2.10000,-9.35000,-3.10000,0.85000,-0.10682,1.19318,1.28636,normal
2.12000,-10.51099,-3.25495,1.24396,-0.19320,1.39320,1.50000,normal
2.14000,-10.53297,-3.36484,1.33187,-0.17379,1.37379,1.50000,normal
2.16000,-10.55495,-3.47473,1.41978,-0.15437,1.35437,1.50000,normal
2.18000,-10.57692,-3.58462,1.50769,-0.13495,1.33495,1.50000,normal
2.20000,-10.59890,-3.69451,1.59560,-0.11553,1.31553,1.50000,normal
2.22000,-11.00000,-2.68000,1.13000,-0.30000,1.05000,1.15000,normal
2.24000,-11.00000,-2.63556,1.19667,-0.68372,0.85814,0.85814,normal
2.26000,-11.00000,-2.59111,1.26333,-0.77674,0.81163,0.81163,normal
2.28000,-11.00000,-2.54667,1.33000,-0.86977,0.76512,0.76512,normal
2.30000,-11.00000,-2.50222,1.39667,-0.96279,0.71860,0.71860,normal
2.32000,-9.88182,-3.74545,1.78182,-1.29348,0.19348,0.20000,normal
2.34000,-9.83636,-3.85909,1.73636,-1.27174,0.17174,0.20000,normal
2.36000,-9.79091,-3.97273,1.69091,-1.25000,0.15000,0.20000,normal
2.38000,-9.74545,-4.08636,1.64545,-1.22826,0.12826,0.20000,normal
2.40000,-9.70000,-4.20000,1.60000,-1.20652,0.10652,0.20000,normal
2.42000,-9.38602,-3.84409,1.38602,0.41556,0.00000,0.09222,normal
2.44000,-9.36452,-3.75806,1.36452,0.46000,0.00000,0.07000,normal
2.46000,-9.34301,-3.67204,1.34301,0.50444,0.00000,0.04778,normal
2.48000,-9.32151,-3.58602,1.32151,0.54889,0.00000,0.02556,normal
2.50000,-9.30000,-3.50000,1.30000,0.59333,0.00000,0.00333,normal
2.52000,-9.54063,-2.78646,0.80000,0.49000,-0.30000,-0.21000,normal
2.54000,-9.60313,-2.76562,0.80000,0.47182,-0.30000,-0.22818,normal
2.56000,-9.66563,-2.74479,0.80000,0.45364,-0.30000,-0.24636,normal
2.58000,-9.72813,-2.72396,0.80000,0.43545,-0.30000,-0.26455,normal
2.60000,-9.79063,-2.70313,0.80000,0.41727,-0.30000,-0.28273,normal
2.62000,-9.63000,-2.67000,0.43000,0.20000,-0.40000,-0.40000,normal
2.64000,-9.57792,-2.72208,0.40000,-0.40000,-0.70000,-0.60946,normal
2.66000,-9.55195,-2.74805,0.40000,-0.40000,-0.70000,-0.63649,normal
2.68000,-9.52597,-2.77403,0.40000,-0.40000,-0.70000,-0.66351,normal
2.70000,-9.50000,-2.80000,0.40000,-0.40000,-0.70000,-0.69054,normal
2.72000,-9.20000,-3.00000,0.20978,-0.19485,-0.59485,-0.69485,normal
2.74000,-9.20000,-3.00000,0.23152,-0.17423,-0.57423,-0.67423,normal
2.76000,-9.20000,-3.00000,0.25326,-0.15361,-0.55361,-0.65361,normal
2.78000,-9.20000,-3.00000,0.27500,-0.13299,-0.53299,-0.63299,normal
2.80000,-9.20000,-3.00000,0.29674,-0.11237,-0.51237,-0.61237,normal
2.82000,-9.09524,-2.69524,0.39048,0.09884,-0.29884,-0.40000,normal
2.84000,-9.07143,-2.67143,0.34286,0.07558,-0.27558,-0.40000,normal
2.86000,-9.04762,-2.64762,0.29524,0.05233,-0.25233,-0.40000,normal
2.88000,-9.02381,-2.62381,0.24762,0.02907,-0.22907,-0.40000,normal
2.90000,-9.00000,-2.60000,0.20000,0.00581,-0.20581,-0.40000,normal
2.92000,-8.99052,-2.70948,0.11897,-0.09160,-0.09160,-0.29160,normal
